DATE,ATNHPIUS17820Q
1979-04-01,48.43
1979-07-01,50.18
1979-10-01,51.46
1980-01-01,52.94
1980-04-01,55.42
1980-07-01,58.55
1980-10-01,57.28
1981-01-01,58.39
1981-04-01,54.55
1981-07-01,58.62
1981-10-01,48.98
1982-01-01,63.7
1982-04-01,65.74
1982-07-01,61.76
1982-10-01,71.42
1983-01-01,66.88
1983-04-01,65.81
1983-07-01,73.49
1983-10-01,66.52
1984-01-01,69.28
1984-04-01,69.36
1984-07-01,69.53
1984-10-01,71.21
1985-01-01,71.43
1985-04-01,72.91
1985-07-01,72.24
1985-10-01,72.55
1986-01-01,74.5
1986-04-01,75.96
1986-07-01,75.42
1986-10-01,75.34
1987-01-01,75.84
1987-04-01,75.62
1987-07-01,72.75
1987-10-01,73.9
1988-01-01,72.88
1988-04-01,74.09
1988-07-01,73.22
1988-10-01,72.44
1989-01-01,71.23
1989-04-01,72.07
1989-07-01,72.85
1989-10-01,72.89
1990-01-01,73.25
1990-04-01,73
1990-07-01,73.28
1990-10-01,73.14
1991-01-01,72.7
1991-04-01,74.1
1991-07-01,75.08
1991-10-01,76.35
1992-01-01,77.09
1992-04-01,78.48
1992-07-01,80.23
1992-10-01,81.44
1993-01-01,82.91
1993-04-01,85.65
1993-07-01,87.76
1993-10-01,90
1994-01-01,91.64
1994-04-01,95.42
1994-07-01,98.07
1994-10-01,98.38
1995-01-01,100.00
1995-04-01,101.91
1995-07-01,104.1
1995-10-01,105.66
1996-01-01,108.07
1996-04-01,109.2
1996-07-01,110.51
1996-10-01,111.61
1997-01-01,112.75
1997-04-01,113.74
1997-07-01,115.3
1997-10-01,116.76
1998-01-01,118.66
1998-04-01,119.58
1998-07-01,120.67
1998-10-01,121.85
1999-01-01,123.04
1999-04-01,124.03
1999-07-01,125.58
1999-10-01,127.13
2000-01-01,130.99
2000-04-01,131.84
2000-07-01,134.2
2000-10-01,136.39
2001-01-01,140.81
2001-04-01,143.43
2001-07-01,146.4
2001-10-01,147.95
2002-01-01,149.44
2002-04-01,150.68
2002-07-01,153.33
2002-10-01,154.7
2003-01-01,155.3
2003-04-01,155.69
2003-07-01,156.88
2003-10-01,158.5
2004-01-01,160.57
2004-04-01,161.58
2004-07-01,165.16
2004-10-01,167.71
2005-01-01,169.26
2005-04-01,173.66
2005-07-01,177.1
2005-10-01,179.61
2006-01-01,181.84
2006-04-01,182.15
2006-07-01,183.91
2006-10-01,185.29
2007-01-01,186.9
2007-04-01,186.21
2007-07-01,184.46
2007-10-01,184.16
2008-01-01,184.69
2008-04-01,181.67
2008-07-01,177.25
2008-10-01,179.29
2009-01-01,180.78
2009-04-01,177.46
2009-07-01,173.96
2009-10-01,174.49
2010-01-01,174.08
2010-04-01,171.18
2010-07-01,173.64
2010-10-01,172.23
2011-01-01,168.2
2011-04-01,164.53
2011-07-01,166.02
2011-10-01,167.71
2012-01-01,167.04
2012-04-01,164.73
2012-07-01,167.59
2012-10-01,169.39
2013-01-01,170.74
2013-04-01,172.28
2013-07-01,174.71
2013-10-01,173.82
2014-01-01,174.21
2014-04-01,178.06
2014-07-01,181.48
2014-10-01,181.52
2015-01-01,184.45
2015-04-01,187.7
2015-07-01,192.83
2015-10-01,193.64
2016-01-01,194.51
2016-04-01,202.44
2016-07-01,206.83
2016-10-01,208.64
2017-01-01,213.67
2017-04-01,220.41
2017-07-01,226.29
2017-10-01,228.06
2018-01-01,236.75
2018-04-01,244.31
2018-07-01,248.97
2018-10-01,250.31
2019-01-01,255.87
2019-04-01,261.11
2019-07-01,265.26
2019-10-01,268.98
2020-01-01,273.84
2020-04-01,278.77
2020-07-01,284.04
2020-10-01,292.82
2021-01-01,302.37
2021-04-01,326.31
2021-07-01,347.41
2021-10-01,358.47
2022-01-01,373.53
2022-04-01,398.37
