DATE,COSTHPI
1975-01-01,54.19
1975-04-01,54.84
1975-07-01,54.75
1975-10-01,55.01
1976-01-01,55.04
1976-04-01,59.84
1976-07-01,59.63
1976-10-01,62.2
1977-01-01,64.97
1977-04-01,65.55
1977-07-01,69.0
1977-10-01,73.01
1978-01-01,76.07
1978-04-01,79.94
1978-07-01,84.08
1978-10-01,87.39
1979-01-01,91.73
1979-04-01,94.52
1979-07-01,97.51
1979-10-01,99.36
1980-01-01,100.00
1980-04-01,102.3
1980-07-01,107.2
1980-10-01,106.57
1981-01-01,106.56
1981-04-01,108.55
1981-07-01,114.55
1981-10-01,110.38
1982-01-01,119.67
1982-04-01,120.78
1982-07-01,122.56
1982-10-01,126.46
1983-01-01,126.22
1983-04-01,125.21
1983-07-01,126.37
1983-10-01,122.01
1984-01-01,126.2
1984-04-01,125.53
1984-07-01,125.78
1984-10-01,123.45
1985-01-01,126.34
1985-04-01,125.54
1985-07-01,126.59
1985-10-01,124.23
1986-01-01,128.82
1986-04-01,129.54
1986-07-01,128.69
1986-10-01,127.99
1987-01-01,129.72
1987-04-01,128.21
1987-07-01,125.51
1987-10-01,124.43
1988-01-01,125.51
1988-04-01,125.09
1988-07-01,123.86
1988-10-01,123.48
1989-01-01,123.5
1989-04-01,124.38
1989-07-01,126.92
1989-10-01,126.44
1990-01-01,127.04
1990-04-01,128.1
1990-07-01,129.07
1990-10-01,129.38
1991-01-01,130.82
1991-04-01,132.49
1991-07-01,133.66
1991-10-01,135.91
1992-01-01,137.82
1992-04-01,140.9
1992-07-01,143.98
1992-10-01,146.68
1993-01-01,149.37
1993-04-01,153.03
1993-07-01,157.36
1993-10-01,161.25
1994-01-01,165.97
1994-04-01,173.62
1994-07-01,177.9
1994-10-01,179.4
1995-01-01,182.71
1995-04-01,186.33
1995-07-01,190.04
1995-10-01,192.93
1996-01-01,195.3
1996-04-01,197.82
1996-07-01,200.01
1996-10-01,202.76
1997-01-01,204.89
1997-04-01,207.56
1997-07-01,210.88
1997-10-01,214.17
1998-01-01,217.18
1998-04-01,219.8
1998-07-01,223.8
1998-10-01,226.54
1999-01-01,230.93
1999-04-01,238.01
1999-07-01,245.87
1999-10-01,250.13
2000-01-01,259.57
2000-04-01,265.95
2000-07-01,272.91
2000-10-01,279.02
2001-01-01,286.83
2001-04-01,292.66
2001-07-01,298.07
2001-10-01,300.49
2002-01-01,303.99
2002-04-01,307.34
2002-07-01,311.71
2002-10-01,313.62
2003-01-01,314.51
2003-04-01,315.87
2003-07-01,317.3
2003-10-01,320.93
2004-01-01,323.33
2004-04-01,325.83
2004-07-01,330.35
2004-10-01,333.56
2005-01-01,337.06
2005-04-01,342.03
2005-07-01,347.4
2005-10-01,350.77
2006-01-01,351.81
2006-04-01,353.65
2006-07-01,355.2
2006-10-01,358.53
2007-01-01,359.4
2007-04-01,360.38
2007-07-01,358.05
2007-10-01,358.95
2008-01-01,360.85
2008-04-01,358.69
2008-07-01,351.66
2008-10-01,352.7
2009-01-01,359.22
2009-04-01,353.37
2009-07-01,345.03
2009-10-01,344.09
2010-01-01,340.22
2010-04-01,336.3
2010-07-01,340.48
2010-10-01,339.0
2011-01-01,330.42
2011-04-01,324.6
2011-07-01,327.89
2011-10-01,330.84
2012-01-01,329.07
2012-04-01,329.92
2012-07-01,335.34
2012-10-01,338.38
2013-01-01,342.5
2013-04-01,349.52
2013-07-01,358.04
2013-10-01,361.08
2014-01-01,366.16
2014-04-01,378.72
2014-07-01,387.1
2014-10-01,392.84
2015-01-01,400.36
2015-04-01,416.98
2015-07-01,432.0
2015-10-01,438.01
2016-01-01,445.8
2016-04-01,461.49
2016-07-01,474.05
2016-10-01,480.86
2017-01-01,489.0
2017-04-01,506.17
2017-07-01,514.27
2017-10-01,521.39
2018-01-01,535.28
2018-04-01,549.0
2018-07-01,557.36
2018-10-01,558.99
2019-01-01,566.65
2019-04-01,575.62
2019-07-01,580.87
2019-10-01,585.71
2020-01-01,592.08
2020-04-01,599.09
2020-07-01,608.42
2020-10-01,620.91
2021-01-01,637.58
2021-04-01,683.59
2021-07-01,724.39
2021-10-01,744.45
2022-01-01,775.94
2022-04-01,837.46
