,City,Metro,CountyName,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31
0,Parker,Denver-Aurora-Lakewood,Douglas County,326301.0,327637.0,329400.0,323152.0,317997.0,312852.0,315348.0,316660.0,319426.0,322472.0,325673.0,328686.0,332241.0,335002.0,338111.0,339462.0,341677.0,343909.0,347254.0,350927.0,353383.0,355044.0,356495.0,358571.0,361728.0,364275.0,366427.0,368755.0,370573.0,371827.0,372095.0,372824.0,374359.0,376949.0,379566.0,382155.0,385470.0,389969.0,394223.0,397479.0,399488.0,402379.0,404901.0,407796.0,410371.0,413176.0,416458.0,419784.0,422288.0,425836.0,429358.0,432820.0,434648.0,435569.0,437434.0,439254.0,441120.0,442275.0,443540.0,445353.0,449962.0,454707.0,458134.0,458325.0,458182.0,459260.0,460341.0,462046.0,464142.0,467691.0,471331.0,475912.0,479442.0,482664.0,484909.0,487638.0,489985.0,491482.0,493020.0,494068.0,495406.0,495805.0,497124.0,497436.0,499045.0,499717.0,501965.0,504325.0,504905.0,505199.0,504280.0,504799.0,504752.0,504923.0,504839.0,505246.0,505966.0,508990.0,510264.0,513410.0,514773.0,517028.0,518201.0,520785.0,525401.0,530427.0,536786.0,544834.0,551302.0,561478.0,571334.0,585428.0,600157.0,617348.0,634290.0,646990.0,655710.0,664500.0,674933.0,687309.0,700448.0,720435.0,735422.0,749450.0,752333.0,752067.0,744450.0
1,Aurora,Denver-Aurora-Lakewood,Arapahoe County,177563.0,179084.0,180215.0,181880.0,182974.0,185243.0,186893.0,189007.0,191193.0,193566.0,195455.0,197220.0,199505.0,202153.0,204624.0,206680.0,208371.0,210323.0,212610.0,214729.0,216811.0,217910.0,219108.0,220632.0,221961.0,224164.0,225208.0,226152.0,227000.0,228334.0,230519.0,231688.0,233032.0,234320.0,236329.0,239444.0,243620.0,247981.0,251492.0,254858.0,258077.0,261002.0,263539.0,266048.0,269125.0,272112.0,275960.0,279857.0,282917.0,285343.0,287937.0,290872.0,293308.0,295099.0,297150.0,299311.0,300515.0,302401.0,305170.0,309086.0,312418.0,315639.0,318148.0,320303.0,320938.0,322266.0,323867.0,325855.0,328310.0,330842.0,333751.0,337465.0,339797.0,341141.0,341726.0,343467.0,345932.0,347563.0,349147.0,351282.0,353473.0,355351.0,356903.0,357800.0,358622.0,360131.0,362172.0,363686.0,364064.0,363539.0,362808.0,361640.0,361773.0,362334.0,364600.0,367325.0,370879.0,372583.0,373771.0,374794.0,376375.0,377744.0,378723.0,381154.0,384559.0,389692.0,394695.0,399529.0,404240.0,409509.0,415129.0,421453.0,430290.0,441574.0,454009.0,463789.0,470536.0,475951.0,482666.0,491113.0,502255.0,513093.0,525547.0,533779.0,541139.0,541344.0,537865.0
2,Greeley,Greeley,Weld County,184111.0,185211.0,186034.0,187204.0,188082.0,188431.0,188975.0,189465.0,190574.0,191184.0,191635.0,191546.0,192350.0,193008.0,195096.0,196667.0,199006.0,200364.0,202203.0,203594.0,204886.0,206190.0,207838.0,209786.0,211600.0,213439.0,215158.0,217158.0,218706.0,220399.0,222069.0,224077.0,225632.0,227444.0,229725.0,232156.0,234404.0,236591.0,239458.0,241463.0,243465.0,245741.0,248509.0,251119.0,253002.0,255105.0,257456.0,259651.0,261973.0,263419.0,264941.0,266756.0,268909.0,270845.0,272732.0,274629.0,277480.0,279714.0,282947.0,285620.0,288781.0,291187.0,293384.0,295650.0,298725.0,301825.0,304860.0,306917.0,308795.0,309639.0,310226.0,311807.0,314517.0,317722.0,320844.0,323440.0,326028.0,328606.0,331522.0,334419.0,336277.0,338587.0,340473.0,342947.0,344961.0,347056.0,347988.0,348268.0,347677.0,347981.0,348191.0,349146.0,350099.0,350877.0,351883.0,352189.0,352634.0,353991.0,356092.0,357664.0,358233.0,358258.0,359224.0,360415.0,362770.0,365893.0,369242.0,372119.0,374282.0,377944.0,382522.0,389001.0,395989.0,403622.0,413232.0,422194.0,431001.0,437102.0,442695.0,446758.0,450883.0,458887.0,469284.0,481308.0,487882.0,491289.0,490224.0
3,Aurora,Denver-Aurora-Lakewood,Arapahoe County,226954.0,228809.0,230689.0,233096.0,234685.0,236971.0,238372.0,240201.0,241941.0,243780.0,245717.0,247759.0,250600.0,254034.0,257257.0,259682.0,261146.0,262909.0,264986.0,266873.0,269173.0,270757.0,272329.0,273874.0,274896.0,277388.0,278362.0,279376.0,279943.0,281179.0,283545.0,284803.0,286333.0,287575.0,289570.0,292699.0,297065.0,301816.0,305626.0,309591.0,312995.0,316088.0,318161.0,320218.0,323272.0,326679.0,331217.0,335491.0,338676.0,341544.0,344559.0,347722.0,349991.0,351298.0,353230.0,355210.0,356516.0,358214.0,361044.0,364994.0,368711.0,372308.0,375332.0,377909.0,378789.0,380419.0,382202.0,384227.0,386786.0,389772.0,393139.0,397133.0,400168.0,402026.0,403027.0,404453.0,406949.0,408518.0,409649.0,411356.0,413162.0,415194.0,416443.0,416964.0,416414.0,417373.0,418722.0,420497.0,420215.0,419441.0,418275.0,417020.0,417114.0,417614.0,419835.0,422508.0,426026.0,427581.0,428140.0,428884.0,430301.0,432192.0,433522.0,436609.0,440099.0,445707.0,450566.0,455935.0,460395.0,466097.0,471998.0,479353.0,489609.0,502953.0,517460.0,528648.0,535886.0,541677.0,549426.0,559504.0,572231.0,584176.0,597715.0,607299.0,615903.0,617123.0,613693.0
4,Fort Collins,Fort Collins,Larimer County,254155.0,254755.0,256414.0,257860.0,259197.0,259254.0,259686.0,260344.0,261415.0,262281.0,262902.0,264810.0,267350.0,269726.0,271234.0,272137.0,273437.0,274264.0,275746.0,276843.0,278173.0,279627.0,281651.0,283771.0,285673.0,287408.0,289397.0,291252.0,292317.0,293465.0,294927.0,296842.0,299040.0,301108.0,304051.0,305952.0,307839.0,310026.0,313630.0,317481.0,322311.0,326173.0,330350.0,332657.0,335565.0,338046.0,340613.0,343190.0,346304.0,350472.0,354482.0,358118.0,359996.0,362635.0,364878.0,367906.0,370217.0,372088.0,374571.0,376588.0,380236.0,383116.0,386347.0,388783.0,391314.0,393315.0,394292.0,395257.0,395856.0,397118.0,398226.0,400549.0,402896.0,405775.0,407277.0,408447.0,408984.0,410405.0,411761.0,412887.0,413725.0,415812.0,417961.0,420624.0,421785.0,424270.0,426178.0,426642.0,426078.0,424660.0,424957.0,424866.0,425870.0,425897.0,427589.0,429834.0,432877.0,433784.0,434903.0,437259.0,439442.0,440537.0,440541.0,440970.0,442323.0,445595.0,449119.0,453369.0,457715.0,463056.0,468016.0,473534.0,481970.0,494177.0,505916.0,516976.0,524902.0,532241.0,538915.0,547723.0,557210.0,566742.0,575591.0,586157.0,596794.0,603358.0,603373.0
5,Aurora,Denver-Aurora-Lakewood,Arapahoe County,354160.0,356866.0,358721.0,360751.0,361853.0,363776.0,364352.0,364901.0,366354.0,368625.0,371953.0,375342.0,379696.0,384239.0,388895.0,391820.0,394333.0,396394.0,399319.0,401694.0,404754.0,406653.0,408535.0,410576.0,412585.0,416301.0,417553.0,417981.0,418302.0,420233.0,423075.0,423473.0,423491.0,423863.0,425514.0,429092.0,433901.0,439219.0,442943.0,446513.0,449608.0,452524.0,454959.0,457157.0,460827.0,464005.0,468909.0,473388.0,477418.0,481046.0,484324.0,487365.0,489521.0,490852.0,492679.0,494243.0,495001.0,496557.0,499388.0,503178.0,506780.0,510355.0,513245.0,515836.0,516621.0,518666.0,520897.0,523576.0,526819.0,530217.0,533322.0,537338.0,541174.0,544326.0,546380.0,548087.0,551669.0,554027.0,556108.0,557935.0,559800.0,561785.0,562308.0,562125.0,560575.0,561275.0,562454.0,564284.0,564668.0,564344.0,563766.0,562478.0,562501.0,562363.0,563924.0,566201.0,569360.0,570173.0,570377.0,571397.0,573700.0,576010.0,578272.0,582319.0,587238.0,593799.0,599815.0,606386.0,612224.0,619724.0,627826.0,638367.0,651847.0,668324.0,686214.0,701008.0,710419.0,717847.0,726808.0,739184.0,754883.0,769708.0,787964.0,800196.0,811088.0,810534.0,805743.0
6,Longmont,Boulder,Boulder County,250497.0,252301.0,253720.0,254822.0,255028.0,254879.0,255443.0,255994.0,257074.0,258327.0,259426.0,260455.0,262294.0,264261.0,266871.0,268393.0,270756.0,272365.0,275071.0,277106.0,280026.0,282730.0,285544.0,287465.0,289200.0,291023.0,293585.0,296088.0,298287.0,299839.0,301410.0,303129.0,304758.0,306566.0,309171.0,312099.0,315397.0,318182.0,321578.0,323563.0,326662.0,329317.0,333060.0,336430.0,340273.0,344018.0,348046.0,352468.0,357035.0,359579.0,361694.0,363830.0,366915.0,369465.0,371811.0,374182.0,376896.0,379152.0,382162.0,384294.0,387002.0,389945.0,393381.0,396783.0,399391.0,401694.0,403590.0,405055.0,406572.0,407671.0,409116.0,411862.0,414969.0,418029.0,420085.0,422124.0,424476.0,427795.0,431282.0,434652.0,436765.0,439685.0,441937.0,443928.0,444907.0,446251.0,447117.0,448011.0,447933.0,448309.0,448118.0,448567.0,448880.0,448646.0,448969.0,449471.0,450367.0,451148.0,452316.0,453392.0,453967.0,454501.0,455587.0,457647.0,460563.0,464848.0,469386.0,473430.0,477091.0,482845.0,489734.0,499400.0,509815.0,522637.0,534905.0,545948.0,555070.0,562433.0,569808.0,577544.0,586066.0,597535.0,610898.0,626024.0,636940.0,640467.0,638557.0
7,Denver,Denver-Aurora-Lakewood,Denver County,144883.0,144584.0,144780.0,145431.0,147041.0,148613.0,150465.0,152145.0,154432.0,155652.0,156752.0,158266.0,159881.0,161716.0,162760.0,164487.0,166058.0,168036.0,170432.0,172808.0,175283.0,177003.0,178545.0,180139.0,181792.0,183267.0,184576.0,186413.0,189567.0,191852.0,193287.0,194301.0,196027.0,198258.0,200854.0,204077.0,207393.0,211274.0,215014.0,218693.0,220189.0,221622.0,224189.0,228652.0,233438.0,237781.0,241373.0,245081.0,248937.0,252621.0,255094.0,257159.0,259255.0,261964.0,264088.0,266406.0,268733.0,271101.0,273569.0,275726.0,277777.0,280336.0,284524.0,288887.0,293517.0,297217.0,300867.0,303621.0,306074.0,308639.0,310984.0,313911.0,316462.0,319432.0,322459.0,326947.0,331937.0,335642.0,337833.0,339395.0,341196.0,343054.0,344286.0,345491.0,346919.0,347673.0,347642.0,347226.0,346864.0,347139.0,347344.0,347917.0,347890.0,347495.0,347270.0,348170.0,350332.0,353344.0,356483.0,358224.0,359165.0,360210.0,361452.0,363893.0,366085.0,370917.0,375808.0,381166.0,386073.0,391246.0,396809.0,402392.0,410247.0,420143.0,430344.0,436528.0,440258.0,443656.0,449519.0,456694.0,463786.0,471608.0,482263.0,494264.0,503507.0,505362.0,501451.0
8,Loveland,Fort Collins,Larimer County,219398.0,219627.0,220755.0,221787.0,222868.0,222656.0,222839.0,223342.0,224668.0,226007.0,226837.0,228363.0,230056.0,231604.0,232550.0,233124.0,234215.0,234492.0,235511.0,236094.0,237247.0,238338.0,239930.0,241504.0,242995.0,244380.0,246039.0,247560.0,248640.0,250260.0,252061.0,254302.0,256377.0,258422.0,260901.0,262776.0,264293.0,266118.0,268798.0,271911.0,275751.0,279059.0,282596.0,284495.0,286499.0,288318.0,290307.0,292557.0,295161.0,298649.0,301667.0,304550.0,306364.0,309103.0,311417.0,314436.0,317127.0,319785.0,322645.0,324849.0,328356.0,331380.0,334799.0,337400.0,339912.0,342296.0,343649.0,345061.0,345815.0,347170.0,348286.0,350484.0,352900.0,355762.0,357466.0,358821.0,359532.0,360774.0,361670.0,362813.0,363980.0,366314.0,368507.0,371074.0,372400.0,374433.0,375762.0,376188.0,375791.0,374945.0,375373.0,375635.0,376318.0,375718.0,376251.0,377536.0,379775.0,380922.0,382226.0,384590.0,386210.0,386973.0,386839.0,387445.0,388938.0,392197.0,395695.0,399699.0,403763.0,408448.0,412913.0,417608.0,424748.0,435100.0,445749.0,455792.0,463478.0,469812.0,475897.0,483195.0,491086.0,498768.0,506451.0,515779.0,525131.0,530209.0,529650.0
9,Broomfield,Denver-Aurora-Lakewood,Broomfield County,238508.0,238822.0,239129.0,239512.0,240006.0,240761.0,241764.0,242672.0,243766.0,246172.0,248733.0,250783.0,251495.0,252513.0,254543.0,255880.0,256932.0,257860.0,260170.0,262667.0,264909.0,266679.0,268502.0,270821.0,273008.0,274929.0,276556.0,278637.0,280738.0,282823.0,284309.0,285474.0,286716.0,288016.0,290236.0,292482.0,295677.0,298841.0,301947.0,305311.0,309144.0,313066.0,316011.0,318922.0,321920.0,325120.0,327882.0,330940.0,334269.0,338036.0,341523.0,344810.0,347620.0,350764.0,354212.0,357572.0,360494.0,363038.0,366123.0,369697.0,372818.0,375904.0,377882.0,381126.0,383296.0,384565.0,384254.0,384454.0,385452.0,386771.0,386973.0,388637.0,392050.0,397111.0,401522.0,404248.0,406314.0,408973.0,411702.0,414187.0,416039.0,417751.0,420387.0,422239.0,423086.0,423784.0,424146.0,425499.0,425671.0,426448.0,426089.0,426498.0,426682.0,427840.0,428589.0,428685.0,429617.0,430631.0,432212.0,433224.0,433925.0,435379.0,438405.0,442523.0,447471.0,452058.0,456706.0,461286.0,466501.0,471857.0,479357.0,487618.0,498548.0,510625.0,523933.0,535206.0,544012.0,552030.0,561042.0,570996.0,581311.0,592272.0,604155.0,615992.0,625598.0,629157.0,627600.0
