"Region Number","Year","Region","Total Population","","","Net Migration","","","","","","","","","",
"","1985","Colorado","3.214.448","","","5.172","","","","","","","","","",
"","1986","Colorado","3.243.803","","","-5.019","","","","","","","","","",
"","1987","Colorado","3.263.354","","","-13.166","","","","","","","","","",
"","1988","Colorado","3.271.448","","","-23.942","","","","","","","","","",
"","1989","Colorado","3.284.537","","","-18.552","","","","","","","","","",
"","1990","Colorado","3.304.042","","","-12.472","","","","","","","","","",
"","1991","Colorado","3.380.951","","","45.473","","","","","","","","","",
"","1992","Colorado","3.489.832","","","76.760","","","","","","","","","",
"","1993","Colorado","3.605.038","","","84.281","","","","","","","","","",
"","1994","Colorado","3.712.062","","","77.059","","","","","","","","","",
"","1995","Colorado","3.811.074","","","69.844","","","","","","","","","",
"","1996","Colorado","3.902.448","","","61.473","","","","","","","","","",
"","1997","Colorado","3.995.923","","","63.044","","","","","","","","","",
"","1998","Colorado","4.102.491","","","75.124","","","","","","","","","",
"","1999","Colorado","4.215.984","","","79.306","","","","","","","","","",
"","2000","Colorado","4.338.801","","","85.875","","","","","","","","","",
"","2001","Colorado","4.444.513","","","67.121","","","","","","","","","",
"","2002","Colorado","4.504.709","","","21.251","","","","","","","","","",
"","2003","Colorado","4.555.084","","","10.313","","","","","","","","","",
"","2004","Colorado","4.608.811","","","14.300","","","","","","","","","",
"","2005","Colorado","4.662.534","","","13.779","","","","","","","","","",
"","2006","Colorado","4.745.660","","","42.896","","","","","","","","","",
"","2007","Colorado","4.821.784","","","35.000","","","","","","","","","",
"","2008","Colorado","4.901.938","","","40.469","","","","","","","","","",
"","2009","Colorado","4.976.853","","","36.267","","","","","","","","","",
"","2010","Colorado","5.050.332","","","37.569","","","","","","","","","",
"","2011","Colorado","5.123.550","","","39.312","","","","","","","","","",
"","2012","Colorado","5.194.662","","","39.143","","","","","","","","","",
"","2013","Colorado","5.270.883","","","45.109","","","","","","","","","",
"","2014","Colorado","5.347.654","","","45.062","","","","","","","","","",
"","2015","Colorado","5.446.593","","","68.844","","","","","","","","","",
"","2016","Colorado","5.529.629","","","53.295","","","","","","","","","",
"","2017","Colorado","5.599.589","","","42.395","","","","","","","","","",
"","2018","Colorado","5.676.913","","","51.761","","","","","","","","","",
"","2019","Colorado","5.734.913","","","34.162","","","","","","","","","",
"","2020","Colorado","5.782.914","","","27.341","","","","","","","","","",
