Date,Region,Property_Type,Median_Sale_Price
2012-01-31,"La Plata County, CO",Condo/Co-op,185000.0
2012-01-31,"Park County, CO",All Residential,247000.0
2012-01-31,"Montezuma County, CO",Single Family Residential,123500.0
2012-01-31,"Denver County, CO",Condo/Co-op,131500.0
2012-01-31,"Park County, CO",Single Family Residential,247000.0
2012-01-31,"Broomfield County, CO",Condo/Co-op,210000.0
2012-01-31,"Archuleta County, CO",All Residential,175000.0
2012-01-31,"Eagle County, CO",Condo/Co-op,410000.0
2012-01-31,"Larimer County, CO",Multi-Family (2-4 Unit),276000.0
2012-01-31,"Summit County, CO",Single Family Residential,365000.0
2012-01-31,"Alamosa County, CO",Single Family Residential,112500.0
2012-01-31,"Chaffee County, CO",Multi-Family (2-4 Unit),203500.0
2012-01-31,"Rio Grande County, CO",All Residential,201250.0
2012-01-31,"Weld County, CO",All Residential,176000.0
2012-01-31,"Adams County, CO",Single Family Residential,162500.0
2012-01-31,"Eagle County, CO",Single Family Residential,340000.0
2012-01-31,"Boulder County, CO",All Residential,290000.0
2012-01-31,"Moffat County, CO",Single Family Residential,85000.0
2012-01-31,"Larimer County, CO",Single Family Residential,241800.0
2012-01-31,"Jefferson County, CO",Townhouse,134200.0
2012-01-31,"Rio Blanco County, CO",All Residential,128000.0
2012-01-31,"Gunnison County, CO",Single Family Residential,291200.0
2012-01-31,"Jefferson County, CO",Multi-Family (2-4 Unit),209000.0
2012-01-31,"Arapahoe County, CO",All Residential,164800.0
2012-01-31,"Lake County, CO",Single Family Residential,171275.0
2012-01-31,"Summit County, CO",All Residential,427000.0
2012-01-31,"San Juan County, CO",Single Family Residential,152500.0
2012-01-31,"Archuleta County, CO",Condo/Co-op,299000.0
2012-01-31,"Morgan County, CO",All Residential,87250.0
2012-01-31,"Clear Creek County, CO",Single Family Residential,125950.0
2012-01-31,"Eagle County, CO",Townhouse,485000.0
2012-01-31,"Denver County, CO",Multi-Family (2-4 Unit),230000.0
2012-01-31,"Larimer County, CO",Townhouse,141000.0
2012-01-31,"Delta County, CO",All Residential,144900.0
2012-01-31,"Mesa County, CO",Single Family Residential,195000.0
2012-01-31,"Boulder County, CO",Single Family Residential,354000.0
2012-01-31,"Morgan County, CO",Single Family Residential,94500.0
2012-01-31,"Weld County, CO",Townhouse,74750.0
2012-01-31,"Douglas County, CO",All Residential,278759.0
2012-01-31,"Alamosa County, CO",All Residential,112500.0
2012-01-31,"Gunnison County, CO",All Residential,269950.0
2012-01-31,"Denver County, CO",Townhouse,225000.0
2012-01-31,"Morgan County, CO",Multi-Family (2-4 Unit),80000.0
2012-01-31,"Arapahoe County, CO",Multi-Family (2-4 Unit),165000.0
2012-01-31,"Hinsdale County, CO",All Residential,450000.0
2012-01-31,"Chaffee County, CO",All Residential,235000.0
2012-01-31,"La Plata County, CO",All Residential,279900.0
2012-01-31,"Cheyenne County, CO",Single Family Residential,31000.0
2012-01-31,"Gunnison County, CO",Townhouse,195000.0
2012-01-31,"Weld County, CO",Condo/Co-op,144250.0
2012-01-31,"Boulder County, CO",Condo/Co-op,165275.0
2012-01-31,"Gilpin County, CO",Single Family Residential,241250.0
2012-01-31,"Lincoln County, CO",All Residential,160000.0
2012-01-31,"Mesa County, CO",All Residential,159000.0
2012-01-31,"Phillips County, CO",All Residential,50000.0
2012-01-31,"Denver County, CO",Single Family Residential,202950.0
2012-01-31,"Routt County, CO",Single Family Residential,295750.0
2012-01-31,"Adams County, CO",Townhouse,134500.0
2012-01-31,"Lincoln County, CO",Single Family Residential,160000.0
2012-01-31,"Costilla County, CO",All Residential,52000.0
